,title,url
166,Registration open for Urban Lab+ London Symposium on urban education,https://www.ucl.ac.uk/urban-lab/news/2015/jul/registration-open-urban-lab-london-symposium-urban-education
167,Cities After Hours: the shift from the diurnal to the nocturnal city,https://www.ucl.ac.uk/urban-lab/news/2015/jun/cities-after-hours-shift-diurnal-nocturnal-city
168,Urban Lab Artists-in-Residence display work as part of UCL Festival of the Arts,https://www.ucl.ac.uk/urban-lab/news/2015/may/urban-lab-artists-residence-display-work-part-ucl-festival-arts
169,DPU summerLabs 2015 applications open,https://www.ucl.ac.uk/urban-lab/news/2015/apr/dpu-summerlabs-2015-applications-open
170,New website documents Ernö Goldfinger's Balfron Tower,https://www.ucl.ac.uk/urban-lab/news/2015/apr/new-website-documents-erno-goldfingers-balfron-tower
171,Urban Lab awarded Leverhulme funding for artist-in-residence to research the Shard,https://www.ucl.ac.uk/urban-lab/news/2015/apr/urban-lab-awarded-leverhulme-funding-artist-residence-research-shard
172,Call for papers: 'Placing' culture in urban China: Towards an interdisciplinary dialogue,https://www.ucl.ac.uk/urban-lab/news/2015/apr/call-papers-placing-culture-urban-china-towards-interdisciplinary-dialogue
173,Interim research findings: university spatial development and urban regeneration,https://www.ucl.ac.uk/urban-lab/news/2015/mar/interim-research-findings-university-spatial-development-and-urban-regeneration
174,Urban Pamphleteer is 'Magazine of the Week' on MagCulture,https://www.ucl.ac.uk/urban-lab/news/2015/mar/urban-pamphleteer-magazine-week-magculture
175,Matthew Gandy wins 2014 Meridian Book Award for 'innovative' The Fabric of Space,https://www.ucl.ac.uk/urban-lab/news/2015/mar/matthew-gandy-wins-2014-meridian-book-award-innovative-fabric-space
176,Call for Contributions: Urban Pamphleteer #5 Global Education for Urban Futures,https://www.ucl.ac.uk/urban-lab/news/2015/mar/call-contributions-urban-pamphleteer-5-global-education-urban-futures
177,Call for Contributions: Urban Pamphleteer #5 Global Education for Urban Futures,https://www.ucl.ac.uk/urban-lab/news/2015/mar/call-contributions-urban-pamphleteer-5-global-education-urban-futures-0
178,DPU summerLab 2014 pamphlet now available,https://www.ucl.ac.uk/urban-lab/news/2015/feb/dpu-summerlab-2014-pamphlet-now-available
179,Call for Papers: Urban Lab+ London Symposium 2015,https://www.ucl.ac.uk/urban-lab/news/2015/feb/call-papers-urban-lab-london-symposium-2015
180,Call for Papers: Urban Lab+ London Symposium 2015,https://www.ucl.ac.uk/urban-lab/news/2015/feb/call-papers-urban-lab-london-symposium-2015-0
181,Call for Proposals: Open Source Housing crisis,https://www.ucl.ac.uk/urban-lab/news/2015/feb/call-proposals-open-source-housing-crisis
182,Contribute to the new project 'London is Changing',https://www.ucl.ac.uk/urban-lab/news/2015/jan/contribute-new-project-london-changing
183,Urban Lab partners with Somerset House and A(by)P for 'Mapping the City' exhibition,https://www.ucl.ac.uk/urban-lab/news/2015/jan/urban-lab-partners-somerset-house-and-abyp-mapping-city-exhibition
184,How Ruth Glass shaped the way we approach our cities,https://www.ucl.ac.uk/urban-lab/news/2015/jan/how-ruth-glass-shaped-way-we-approach-our-cities
185,Is urban graffiti a force for good or evil?,https://www.ucl.ac.uk/urban-lab/news/2015/jan/urban-graffiti-force-good-or-evil
